open,high,low,close,volume,SMA_12,EMA_12,WMA_12,EMA_26,MACD,Signal,L14,H14,%K,%D,up,down,flat
108625.6,108951.9,108524.1,108925.1,129.182044,108960.925,108877.46904530362,108890.69871794872,108887.03494077935,-9.565895475738216,11.901869833119136,108382.1,109522.4,47.619047619048104,41.61813342880911,1,0,0
108925.1,109207.6,108913.8,109175.9,72.791032,108979.97500000002,108923.38149987228,108923.77179487179,108908.43235257348,14.949147298801108,12.51132532625553,108382.1,109522.4,69.61325966850798,50.060613332612434,1,0,0
109175.9,109277.0,109001.3,109236.3,106.26042,108990.61666666665,108971.52280758425,108963.2064102564,108932.71884497545,38.80396260879934,17.769852782764293,108382.1,109522.4,74.91011137420028,64.04747288725213,0,0,1
109236.3,109325.4,109172.7,109182.1,82.617203,108968.44166666667,109003.91929872513,108992.6653846154,108951.19152312542,52.72777559970564,24.76143734615256,108382.1,109522.4,70.15697623432501,71.56011575901108,0,0,1
109182.1,109329.8,109171.0,109227.0,76.692479,108985.15833333334,109038.23940661357,109032.44358974359,108971.62178067169,66.61762594188622,33.132675065299296,108382.1,109522.4,74.094536525476,73.05387471133378,0,1,0
109227.0,109230.0,109012.1,109080.5,65.67264,108986.10833333334,109044.74103636533,109047.11153846153,108979.68683395526,65.05420241007232,39.516980534253904,108382.1,109467.7,64.3330876934414,69.5282001510808,0,1,0
109080.5,109097.1,108274.4,108876.9,431.314286,108962.86666666665,109018.91933846296,109030.31025641024,108972.07299440302,46.846344059944386,40.982853239392,108274.4,109378.0,54.59405581732483,64.34056001208074,0,1,0
108876.9,108934.7,108100.1,108127.0,236.955859,108914.09166666666,108881.70097869943,108901.7153846154,108909.4749948176,-27.774016118171858,27.23147936787923,108100.1,109378.0,2.105016041943368,40.344053184236536,0,1,0
108127.0,108127.0,107455.0,107790.8,223.440992,108831.04999999999,108713.87005889951,108728.90128205129,108826.61018038666,-112.74012148714974,-0.7628408031265614,107455.0,109378.0,17.46229849193983,24.72045678373601,1,0,0
107790.8,108218.1,107586.8,108055.0,144.334356,108757.15000000001,108612.50543445343,108609.50897435896,108769.4538707284,-156.94843627496448,-31.999959897494147,107455.0,109329.8,32.00341369746101,17.190242743781404,1,0,0
